 ,symbol,return_2018,return_2019
0,AAPL,-0.0539018517034162,0.8895781134816192
1,MSFT,0.2079528865539874,0.575580898382476
2,AMZN,0.2843168343310971,0.2302775699102175
3,FB,-0.2571121455299499,0.5657182566395071
4,GOOGL,-0.0080122107534715,0.2817620435124019
5,GOOG,-0.0103115813766456,0.2910458950432
6,JNJ,-0.0513145865543519,0.1622004279467526
7,PG,0.0356984073592516,0.3970053292495836
8,V,0.1648758409709931,0.4332700786492909
9,NVDA,-0.3081524452176002,0.7694303028809795
10,MA,0.2531289672735413,0.5915801177097679
11,HD,-0.0729549542868144,0.3055980925725188
12,UNH,0.1452393998404424,0.2000306080167553
13,JPM,-0.0662379207195618,0.4725703251808624
14,VZ,0.1125669989546698,0.138334835422661
15,ADBE,0.2910294370283772,0.4577881484753328
16,NFLX,0.3943529601975897,0.2088844136757912
17,PYPL,0.1422166880378965,0.286359889944578
18,CRM,0.3398219405314895,0.1874132862129423
19,DIS,0.0360781769360769,0.33513502550622
20,INTC,0.0422652896207951,0.3071196445560844
21,CMCSA,-0.1271080940499533,0.3404258112675842
22,MRK,0.3995387781266355,0.2227141765089979
23,T,-0.2225202704488434,0.4554526077505774
24,PFE,0.2481892107275405,-0.0690793156800579
25,WMT,-0.0343196364202232,0.3016298298899786
26,PEP,-0.0481286973944873,0.2737592478854731
27,ABT,0.2906184015766899,0.2208019123066251
28,KO,0.0677349567809824,0.205994381809812
29,BAC,-0.1499658026131729,0.4619023237598509
30,TMO,0.1821010243647958,0.4554994944009911
31,CSCO,0.1657159137941974,0.138126164367226
32,MCD,0.0577911569414717,0.1397148182476479
33,COST,0.1059928937281773,0.4570070732396938
34,NKE,0.1986816603162626,0.3809407391953077
35,ABBV,-0.0095648215747673,0.0296446222528916
36,AMGN,0.1523307773068658,0.2760107172841646
37,AVGO,0.0218315691398649,0.2905164862590221
38,ACN,-0.0622869463592133,0.512136067513224
39,XOM,-0.150933200545244,0.0723287459653603
40,NEE,0.143037081704989,0.426858787395318
41,MDT,0.1518481784230252,0.2733823490993659
42,DHR,0.1180450790363378,0.495538022757203
43,QCOM,-0.0758878884252588,0.6076410150902376
44,BMY,-0.1289570142273374,0.2773810815436359
45,TXN,-0.0716949941145597,0.3956345447737608
46,UNP,0.0526214385754824,0.3369986990542677
47,CVX,-0.0974741924248419,0.1527366194011459
48,LOW,0.0121676745895071,0.3223436685118783
49,LIN,0.0301164817170134,0.3904191351676747
50,UPS,-0.1547601071698789,0.2423636041879491
51,PM,-0.3329610141421472,0.3502129749737652
52,ORCL,-0.0296957013667878,0.1934327739551034
53,HON,-0.0820729494117032,0.3669510594472625
54,LLY,0.4045164891540864,0.1613995548081386
55,IBM,-0.2255799901649737,0.2357607668991972
56,AMT,0.1332330272891775,0.4786610148436143
57,SBUX,0.1473607843776441,0.3908526259891196
58,AMD,0.7957197470817121,1.4842905462779274
59,WFC,-0.2182920124789316,0.2144115421617345
60,CHTR,-0.1517739950171626,0.7022142165764318
61,NOW,0.3655188616114646,0.5856220288858967
62,LMT,-0.1634589805973927,0.5254663521629754
63,MMM,-0.168991363496865,-0.0429080362848047
64,FIS,0.1031999772938285,0.3718805355010708
65,C,-0.2848627895864453,0.5782040651471692
66,BA,0.1150165479351064,0.0333823141689235
67,SPGI,0.0137373770687296,0.6226676075466115
68,RTX,-0.1465736958848547,0.4424453112586299
69,INTU,0.2585837826289094,0.341135041044702
70,ISRG,0.3123253421804934,0.2343397810773884
71,MDLZ,-0.0426825773897471,0.4042386100346644
72,BLK,-0.2160063942142822,0.3186536381419043
73,CAT,-0.1755810566707119,0.1951360680044793
74,TGT,0.0467052784019907,1.0017279861806792
75,GILD,-0.0991987712656389,0.0788062881894415
76,ZTS,0.1944732625212302,0.5570895559516325
77,CVS,-0.0703629454241701,0.1726011798014854
78,PLD,-0.0624840234476369,0.5586566675312941
79,MO,-0.2714225543560986,0.0787004207977266
80,BKNG,-0.0088160174066087,0.192351416923014
81,VRTX,0.105765420353894,0.3212840972241344
82,CCI,0.0175251737497461,0.3545088185218146
83,DE,-0.0289582700938741,0.1829548426462968
84,TJX,0.1894162687821534,0.3875663559979618
85,GS,-0.3352524359249429,0.4047899435405067
86,EQIX,-0.2041391226769922,0.688613077321055
87,SYK,0.0243492089412606,0.35328788869404
88,ANTM,0.1810993020783309,0.1633480034000645
89,TMUS,0.0015746024744007,0.2328249766888073
90,BDX,0.0661464965437808,0.2220296763857283
91,DUK,0.0741458171664757,0.1028694454140493
92,D,-0.0759124451119732,0.2149883382198905
93,AXP,-0.0262017998663037,0.3251739052133762
94,CL,-0.1919142937665053,0.1859605814770371
95,APD,0.0026062351133666,0.5001745844168368
96,ATVI,-0.260737794763262,0.2861782591316484
97,CI,-0.0646304987108753,0.0769795029091426
98,FDX,-0.3467380732143368,-0.0477773939400266
99,CME,0.3214526082739792,0.0966611433514474
